type,maturity,coupon,bid,ask,price,ytm,ttm_years,id
note,2031-06-30,0.0425,98.96875,99.0,99.0,0.044800000000000006,4.8405201916495555,N20310630_42
note,2031-07-31,0.041299999999999996,98.375,98.4375,98.4375,0.044800000000000006,4.9253935660506505,N20310731_41
note,2031-07-31,0.0438,99.53125,99.5625,99.5625,0.0447,4.9253935660506505,N20310731_44
note,2031-08-15,0.0125,85.6875,85.71875,85.71875,0.0449,4.9664613278576315,N20310815_12
note,2031-08-31,0.0375,96.6875,96.71875,96.71875,0.0449,5.0102669404517455,N20310831_38
note,2031-09-30,0.0363,96.0625,96.09375,96.09375,0.0449,5.092402464065708,N20310930_36
note,2031-10-31,0.041299999999999996,98.28125,98.3125,98.3125,0.0449,5.177275838466803,N20311031_41
note,2031-11-15,0.0138,85.53125,85.59375,85.59375,0.0451,5.218343600273785,N20311115_14
note,2031-11-30,0.041299999999999996,98.1875,98.25,98.25,0.045,5.259411362080766,N20311130_41
note,2031-12-31,0.045,99.9375,100.0,100.0,0.045,5.344284736481861,N20311231_45
note,2032-01-31,0.0438,99.3125,99.34375,99.34375,0.0451,5.429158110882957,N20320131_44
note,2032-02-15,0.018799999999999997,87.28125,87.3125,87.3125,0.0452,5.470225872689938,N20320215_19
note,2032-02-29,0.041299999999999996,98.125,98.15625,98.15625,0.045,5.508555783709788,N20320229_41
